Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.043,1386797,cyan,savannah,tiger,wonky,shale,royalpurple,soserious,bananacream,,0,Fast Cooldown ,1
0.043,1389154,dahlia,birman,tiger,wiley,frosting,egyptiankohl,whixtensions,cinderella,,0,Fast Cooldown ,1
0.0433,1386795,cyan,koladiviya,spock,stunned,purplehaze,swampgreen,wuvme,brownies,,0,Fast Cooldown ,1
0.0434,1321430,chestnut,koladiviya,vigilante,asif,kittencream,swampgreen,confuzzled,orangesoda,,0,Swift Cooldown ,2
0.0434,1386791,olive,birman,leopard,wiley,frosting,royalpurple,fangtastic,cinderella,,0,Fast Cooldown ,1
0.0437,1386789,thundergrey,ragdoll,amur,wonky,cashewmilk,lemonade,pouty,brownies,,0,Fast Cooldown ,1
0.0437,1386787,dahlia,birman,amur,slyboots,azaleablush,lemonade,belch,bananacream,,0,Fast Cooldown ,1
0.0437,1386270,cyan,koladiviya,leopard,asif,morningglory,egyptiankohl,fangtastic,shadowgrey,,0,Fast Cooldown ,1
0.044,1302489,olive,siberian,rorschach,wiley,icy,coffee,confuzzled,brownies,,0,Swift Cooldown ,1
0.044,1331744,dahlia,bobtail,razzledazzle,thicccbrowz,purplehaze,egyptiankohl,impish,bananacream,,0,Sluggish Cooldown ,2
0.0441,1319377,sapphire,chantilly,totesbasic,slyboots,sandalwood,egyptiankohl,soserious,brownies,,0,Swift Cooldown ,3
0.0445,1330951,mintgreen,selkirk,mittens,wiley,buttercup,egyptiankohl,rollercoaster,tundra,,0,Swift Cooldown ,2
0.0445,1301395,dahlia,munchkin,totesbasic,swarley,purplehaze,lemonade,pouty,aquamarine,,0,Swift Cooldown ,3
0.0446,1330182,dahlia,selkirk,arcreactor,wiley,kalahari,coffee,happygokitty,cinderella,,0,Slow Cooldown ,2
0.0447,1330181,chestnut,selkirk,rorschach,wonky,purplehaze,barkbrown,pouty,koala,,0,Slow Cooldown ,2
0.045,1402532,thundergrey,lynx,totesbasic,wiley,cashewmilk,royalpurple,soserious,mauveover,,0,Fast Cooldown ,1
0.045,1347766,chestnut,munchkin,tiger,wiley,kittencream,coffee,soserious,shamrock,daemonhorns,0,Swift Cooldown ,5
0.045,1294083,chestnut,selkirk,amur,wonky,azaleablush,swampgreen,rollercoaster,brownies,,0,Swift Cooldown ,4
0.0455,1319490,strawberry,selkirk,totesbasic,wiley,peach,swampgreen,wasntme,brownies,,0,Swift Cooldown ,2
0.0457,1317312,thundergrey,savannah,camo,asif,icy,swampgreen,wuvme,mauveover,,0,Swift Cooldown ,2
0.0457,1401084,olive,chantilly,totesbasic,wonky,belleblue,royalpurple,beard,nachocheez,,0,Swift Cooldown ,5
0.0459,1321465,thundergrey,chantilly,rorschach,alien,belleblue,royalpurple,moue,shadowgrey,,0,Swift Cooldown ,2
0.0462,1401281,mintgreen,selkirk,totesbasic,baddate,purplehaze,royalpurple,pouty,shadowgrey,,0,Swift Cooldown ,4
0.0464,1390431,thundergrey,ragdoll,allyouneed,baddate,belleblue,butterscotch,satiated,tundra,flapflap,0,Slow Cooldown ,11
0.0464,1386975,thundergrey,ragdoll,totesbasic,slyboots,emeraldgreen,swampgreen,grim,greymatter,,0,Swift Cooldown ,4
0.0465,1391085,mintgreen,ragdoll,allyouneed,chronic,cashewmilk,padparadscha,satiated,bananacream,flapflap,0,Snappy Cooldown ,5
0.0465,1391132,thundergrey,selkirk,spock,thicccbrowz,flamingo,lemonade,pouty,cinderella,,0,Swift Cooldown ,5
0.047,1308465,dahlia,sphynx,rascal,bornwithit,sandalwood,chocolate,wuvme,bananacream,,0,Brisk Cooldown ,8
